4690 4818 c47c bb4d c2cc 4805 c75b c851
c2c3 c886 c822 3f18 c228 c1fe 45f5 c490
c88b 3dd0 c57a 4510 bc26 c87f 48a3 c419
4080 4463 464d b4e2 c057 bf47 47f1 4693
46f6 3586 408e c0eb be86 c190 c3ba c82e
c4b3 3fe0 c478 48f3 40a4 3939 c82b 37c7
3cfe 3ff7 c503 4061 466b c02f 473e 4690
c189 4745 c5cb c682 3a89 bb17 c4df c079
47b2 c258 c709 3f6c c6a7 bff8 c55b 4708
467e 3bdf c7a6 367c baf5 bea1 4827 48eb
c1db 428e 47ef 36a5 c545 481a 47e2 456f
4625 c650 47e3 b823 bda0 c6f4 b936 45d9
c7a2 c0dd 482e 489b c66d c48e 3a70 c8a6
c41a c7a1 c850 ba2d c8e1 3afb 48a0 44d1
c6d5 bb2d c1af 40d4 479c 403b c8b5 4753
479f 364b 4899 3bec 446b c2d4 c7b2 477d
4733 4383 c64e 436f c84e b0cb 4272 3682
bf01 c711 484d 4836 c7ff c8f5 b9b7 48a5
c8a0 48e3 c239 30da 4861 4278 4704 c39a
c8aa c1aa 488a c79e 48ff c1a2 c824 4688
c726 b439 40c1 4289 c51c c67e bc77 c62f
b4da 327e c7ed 4832 4877 3ab9 c190 3feb
44f3 c73e 48f4 3f69 40d7 478a bb78 c567
47f6 c6f1 c826 3bb9 c829 41ce c7bd 3e17
40a2 3cc2 c6eb c2cb beb5 ad30 bd5f c711
c845 468c 4523 c690 c765 4873 c488 c18b
c566 c564 c882 4892 43a4 42fc c4ad b846
42de 33b7 b992 44c2 c7ab c83c 48f6 c8d8
c8e3 c725 3947 4817 c4ef 46f6 3560 c653
